cphhhbh,产品类别,产品名称/通用名称,设备记录主键,规格型号,商品名称,单价,使用单元产品标识,医保编码,医疗器械注册人/备案人名称,医疗器械注册人/备案人英文名称,注册证编号或者备案凭证编号,最小销售单元产品标识
100385890,耗材,软性亲水接触镜TOTAL30 Soft Contact Lenses,00730781049942202502170240201,月抛型,软性亲水接触镜（水梯度月抛）3片装 840 142 -01.00 ROW,,,,美国爱尔康公司,"Alcon Laboratories, Inc.",国械注进20233160233,00730781049942
100385891,耗材,软性亲水接触镜TOTAL30 Soft Contact Lenses,00730781049959202502170240202,月抛型,软性亲水接触镜（水梯度月抛）3片装 840 142 -01.25 ROW,,,,美国爱尔康公司,"Alcon Laboratories, Inc.",国械注进20233160233,00730781049959
100385892,耗材,软性亲水接触镜TOTAL30 Soft Contact Lenses,00730781049966202502170240203,月抛型,软性亲水接触镜（水梯度月抛）3片装 840 142 -01.50 ROW,,,,美国爱尔康公司,"Alcon Laboratories, Inc.",国械注进20233160233,00730781049966
100385893,耗材,软性亲水接触镜TOTAL30 Soft Contact Lenses,00730781049973202502170240204,月抛型,软性亲水接触镜（水梯度月抛）3片装 840 142 -01.75 ROW,,,,美国爱尔康公司,"Alcon Laboratories, Inc.",国械注进20233160233,00730781049973
100385894,耗材,软性亲水接触镜TOTAL30 Soft Contact Lenses,00730781049980202502170240205,月抛型,软性亲水接触镜（水梯度月抛）3片装 840 142 -02.00 ROW,,,,美国爱尔康公司,"Alcon Laboratories, Inc.",国械注进20233160233,00730781049980
100385895,耗材,软性亲水接触镜TOTAL30 Soft Contact Lenses,00730781049997202502170240206,月抛型,软性亲水接触镜（水梯度月抛）3片装 840 142 -02.25 ROW,,,,美国爱尔康公司,"Alcon Laboratories, Inc.",国械注进20233160233,00730781049997
100385896,耗材,软性亲水接触镜TOTAL30 Soft Contact Lenses,00730781050009202502170240207,月抛型,软性亲水接触镜（水梯度月抛）3片装 840 142 -02.50 ROW,,,,美国爱尔康公司,"Alcon Laboratories, Inc.",国械注进20233160233,00730781050009
100385897,耗材,软性亲水接触镜TOTAL30 Soft Contact Lenses,00730781050016202502170240208,月抛型,软性亲水接触镜（水梯度月抛）3片装 840 142 -02.75 ROW,,,,美国爱尔康公司,"Alcon Laboratories, Inc.",国械注进20233160233,00730781050016
100385898,耗材,软性亲水接触镜TOTAL30 Soft Contact Lenses,00730781050023202502170240209,月抛型,软性亲水接触镜（水梯度月抛）3片装 840 142 -03.00 ROW,,,,美国爱尔康公司,"Alcon Laboratories, Inc.",国械注进20233160233,00730781050023
100385899,耗材,软性亲水接触镜TOTAL30 Soft Contact Lenses,007307810500302025021702402010,月抛型,软性亲水接触镜（水梯度月抛）3片装 840 142 -03.25 ROW,,,,美国爱尔康公司,"Alcon Laboratories, Inc.",国械注进20233160233,00730781050030
100385900,耗材,软性亲水接触镜TOTAL30 Soft Contact Lenses,007307810500472025021702402011,月抛型,软性亲水接触镜（水梯度月抛）3片装 840 142 -03.50 ROW,,,,美国爱尔康公司,"Alcon Laboratories, Inc.",国械注进20233160233,00730781050047
100385901,耗材,软性亲水接触镜TOTAL30 Soft Contact Lenses,007307810500542025021702402012,月抛型,软性亲水接触镜（水梯度月抛）3片装 840 142 -03.75 ROW,,,,美国爱尔康公司,"Alcon Laboratories, Inc.",国械注进20233160233,00730781050054
100385902,耗材,软性亲水接触镜TOTAL30 Soft Contact Lenses,007307810500612025021702402013,月抛型,软性亲水接触镜（水梯度月抛）3片装 840 142 -04.00 ROW,,,,美国爱尔康公司,"Alcon Laboratories, Inc.",国械注进20233160233,00730781050061
100385903,耗材,软性亲水接触镜TOTAL30 Soft Contact Lenses,007307810500782025021702402014,月抛型,软性亲水接触镜（水梯度月抛）3片装 840 142 -04.25 ROW,,,,美国爱尔康公司,"Alcon Laboratories, Inc.",国械注进20233160233,00730781050078
100385904,耗材,软性亲水接触镜TOTAL30 Soft Contact Lenses,007307810500852025021702402015,月抛型,软性亲水接触镜（水梯度月抛）3片装 840 142 -04.50 ROW,,,,美国爱尔康公司,"Alcon Laboratories, Inc.",国械注进20233160233,00730781050085
100385905,耗材,软性亲水接触镜TOTAL30 Soft Contact Lenses,007307810500922025021702402016,月抛型,软性亲水接触镜（水梯度月抛）3片装 840 142 -04.75 ROW,,,,美国爱尔康公司,"Alcon Laboratories, Inc.",国械注进20233160233,00730781050092
100385906,耗材,软性亲水接触镜TOTAL30 Soft Contact Lenses,007307810501082025021702402017,月抛型,软性亲水接触镜（水梯度月抛）3片装 840 142 -05.00 ROW,,,,美国爱尔康公司,"Alcon Laboratories, Inc.",国械注进20233160233,00730781050108
100385907,耗材,软性亲水接触镜TOTAL30 Soft Contact Lenses,007307810501152025021702402018,月抛型,软性亲水接触镜（水梯度月抛）3片装 840 142 -05.25 ROW,,,,美国爱尔康公司,"Alcon Laboratories, Inc.",国械注进20233160233,00730781050115
100385908,耗材,软性亲水接触镜TOTAL30 Soft Contact Lenses,007307810501222025021702402019,月抛型,软性亲水接触镜（水梯度月抛）3片装 840 142 -05.50 ROW,,,,美国爱尔康公司,"Alcon Laboratories, Inc.",国械注进20233160233,00730781050122
100385909,耗材,软性亲水接触镜TOTAL30 Soft Contact Lenses,007307810501392025021702402020,月抛型,软性亲水接触镜（水梯度月抛）3片装 840 142 -05.75 ROW,,,,美国爱尔康公司,"Alcon Laboratories, Inc.",国械注进20233160233,00730781050139
100385910,耗材,软性亲水接触镜TOTAL30 Soft Contact Lenses,007307810501462025021702402021,月抛型,软性亲水接触镜（水梯度月抛）3片装 840 142 -06.00 ROW,,,,美国爱尔康公司,"Alcon Laboratories, Inc.",国械注进20233160233,00730781050146
100385911,耗材,软性亲水接触镜TOTAL30 Soft Contact Lenses,007307810501532025021702402022,月抛型,软性亲水接触镜（水梯度月抛）3片装 840 142 -06.25 ROW,,,,美国爱尔康公司,"Alcon Laboratories, Inc.",国械注进20233160233,00730781050153
100385912,耗材,软性亲水接触镜TOTAL30 Soft Contact Lenses,007307810501602025021702402023,月抛型,软性亲水接触镜（水梯度月抛）3片装 840 142 -06.50 ROW,,,,美国爱尔康公司,"Alcon Laboratories, Inc.",国械注进20233160233,00730781050160
100385913,耗材,软性亲水接触镜TOTAL30 Soft Contact Lenses,007307810501772025021702402024,月抛型,软性亲水接触镜（水梯度月抛）3片装 840 142 -06.75 ROW,,,,美国爱尔康公司,"Alcon Laboratories, Inc.",国械注进20233160233,00730781050177
100385914,耗材,软性亲水接触镜TOTAL30 Soft Contact Lenses,007307810501842025021702402025,月抛型,软性亲水接触镜（水梯度月抛）3片装 840 142 -07.00 ROW,,,,美国爱尔康公司,"Alcon Laboratories, Inc.",国械注进20233160233,00730781050184
100385915,耗材,软性亲水接触镜TOTAL30 Soft Contact Lenses,007307810501912025021702402026,月抛型,软性亲水接触镜（水梯度月抛）3片装 840 142 -07.25 ROW,,,,美国爱尔康公司,"Alcon Laboratories, Inc.",国械注进20233160233,00730781050191
100385916,耗材,软性亲水接触镜TOTAL30 Soft Contact Lenses,007307810502072025021702402027,月抛型,软性亲水接触镜（水梯度月抛）3片装 840 142 -07.50 ROW,,,,美国爱尔康公司,"Alcon Laboratories, Inc.",国械注进20233160233,00730781050207
100385917,耗材,软性亲水接触镜TOTAL30 Soft Contact Lenses,007307810502142025021702402028,月抛型,软性亲水接触镜（水梯度月抛）3片装 840 142 -07.75 ROW,,,,美国爱尔康公司,"Alcon Laboratories, Inc.",国械注进20233160233,00730781050214
100385918,耗材,软性亲水接触镜TOTAL30 Soft Contact Lenses,007307810502212025021702402029,月抛型,软性亲水接触镜（水梯度月抛）3片装 840 142 -08.00 ROW,,,,美国爱尔康公司,"Alcon Laboratories, Inc.",国械注进20233160233,00730781050221
100385919,耗材,软性亲水接触镜TOTAL30 Soft Contact Lenses,007307810502382025021702402030,月抛型,软性亲水接触镜（水梯度月抛）3片装 840 142 -08.50 ROW,,,,美国爱尔康公司,"Alcon Laboratories, Inc.",国械注进20233160233,00730781050238
